instance=10,n=25,m=10,d=5,type=B2
BinType:1 cost=723
	no=1, value=251
	no=2, value=371
	no=3, value=170
	no=4, value=148
	no=5, value=150
BinType:2 cost=752
	no=1, value=206
	no=2, value=177
	no=3, value=218
	no=4, value=126
	no=5, value=474
BinType:3 cost=794
	no=1, value=468
	no=2, value=152
	no=3, value=190
	no=4, value=236
	no=5, value=274
BinType:4 cost=814
	no=1, value=226
	no=2, value=255
	no=3, value=278
	no=4, value=412
	no=5, value=189
BinType:5 cost=836
	no=1, value=396
	no=2, value=303
	no=3, value=406
	no=4, value=181
	no=5, value=167
BinType:6 cost=838
	no=1, value=495
	no=2, value=238
	no=3, value=207
	no=4, value=378
	no=5, value=157
BinType:7 cost=853
	no=1, value=182
	no=2, value=494
	no=3, value=208
	no=4, value=428
	no=5, value=219
BinType:8 cost=859
	no=1, value=247
	no=2, value=151
	no=3, value=406
	no=4, value=310
	no=5, value=415
BinType:9 cost=891
	no=1, value=305
	no=2, value=415
	no=3, value=309
	no=4, value=306
	no=5, value=273
BinType:10 cost=961
	no=1, value=488
	no=2, value=189
	no=3, value=351
	no=4, value=451
	no=5, value=423
Item: no=1
	no=1, value=72
	no=2, value=18
	no=3, value=42
	no=4, value=19
	no=5, value=37
Item: no=2
	no=1, value=22
	no=2, value=15
	no=3, value=93
	no=4, value=49
	no=5, value=39
Item: no=3
	no=1, value=49
	no=2, value=46
	no=3, value=20
	no=4, value=68
	no=5, value=94
Item: no=4
	no=1, value=5
	no=2, value=20
	no=3, value=6
	no=4, value=89
	no=5, value=93
Item: no=5
	no=1, value=43
	no=2, value=71
	no=3, value=22
	no=4, value=55
	no=5, value=6
Item: no=6
	no=1, value=86
	no=2, value=75
	no=3, value=9
	no=4, value=51
	no=5, value=34
Item: no=7
	no=1, value=96
	no=2, value=30
	no=3, value=97
	no=4, value=35
	no=5, value=91
Item: no=8
	no=1, value=45
	no=2, value=29
	no=3, value=27
	no=4, value=39
	no=5, value=33
Item: no=9
	no=1, value=15
	no=2, value=4
	no=3, value=60
	no=4, value=59
	no=5, value=83
Item: no=10
	no=1, value=56
	no=2, value=13
	no=3, value=45
	no=4, value=40
	no=5, value=18
Item: no=11
	no=1, value=66
	no=2, value=29
	no=3, value=66
	no=4, value=7
	no=5, value=38
Item: no=12
	no=1, value=68
	no=2, value=98
	no=3, value=59
	no=4, value=86
	no=5, value=64
Item: no=13
	no=1, value=68
	no=2, value=91
	no=3, value=36
	no=4, value=26
	no=5, value=11
Item: no=14
	no=1, value=55
	no=2, value=3
	no=3, value=94
	no=4, value=89
	no=5, value=43
Item: no=15
	no=1, value=99
	no=2, value=14
	no=3, value=52
	no=4, value=61
	no=5, value=76
Item: no=16
	no=1, value=40
	no=2, value=56
	no=3, value=35
	no=4, value=88
	no=5, value=35
Item: no=17
	no=1, value=93
	no=2, value=81
	no=3, value=34
	no=4, value=26
	no=5, value=56
Item: no=18
	no=1, value=89
	no=2, value=7
	no=3, value=67
	no=4, value=5
	no=5, value=86
Item: no=19
	no=1, value=88
	no=2, value=70
	no=3, value=91
	no=4, value=39
	no=5, value=90
Item: no=20
	no=1, value=33
	no=2, value=45
	no=3, value=95
	no=4, value=73
	no=5, value=58
Item: no=21
	no=1, value=89
	no=2, value=44
	no=3, value=19
	no=4, value=79
	no=5, value=74
Item: no=22
	no=1, value=46
	no=2, value=6
	no=3, value=14
	no=4, value=9
	no=5, value=62
Item: no=23
	no=1, value=46
	no=2, value=90
	no=3, value=60
	no=4, value=66
	no=5, value=66
Item: no=24
	no=1, value=88
	no=2, value=40
	no=3, value=45
	no=4, value=79
	no=5, value=80
Item: no=25
	no=1, value=58
	no=2, value=26
	no=3, value=75
	no=4, value=52
	no=5, value=80
Links between items
Link1: itemNo1=1, itemNo2=3, cost=22
Link2: itemNo1=1, itemNo2=11, cost=24
Link3: itemNo1=1, itemNo2=23, cost=93
Link4: itemNo1=2, itemNo2=3, cost=91
Link5: itemNo1=2, itemNo2=9, cost=15
Link6: itemNo1=2, itemNo2=20, cost=11
Link7: itemNo1=2, itemNo2=23, cost=53
Link8: itemNo1=3, itemNo2=8, cost=9
Link9: itemNo1=3, itemNo2=11, cost=95
Link10: itemNo1=3, itemNo2=12, cost=27
Link11: itemNo1=3, itemNo2=16, cost=86
Link12: itemNo1=3, itemNo2=21, cost=6
Link13: itemNo1=4, itemNo2=1, cost=42
Link14: itemNo1=4, itemNo2=6, cost=14
Link15: itemNo1=4, itemNo2=7, cost=40
Link16: itemNo1=4, itemNo2=14, cost=30
Link17: itemNo1=4, itemNo2=18, cost=94
Link18: itemNo1=4, itemNo2=20, cost=48
Link19: itemNo1=5, itemNo2=1, cost=89
Link20: itemNo1=5, itemNo2=11, cost=15
Link21: itemNo1=5, itemNo2=13, cost=57
Link22: itemNo1=5, itemNo2=15, cost=35
Link23: itemNo1=6, itemNo2=7, cost=61
Link24: itemNo1=6, itemNo2=16, cost=4
Link25: itemNo1=6, itemNo2=25, cost=3
Link26: itemNo1=7, itemNo2=9, cost=86
Link27: itemNo1=7, itemNo2=11, cost=69
Link28: itemNo1=7, itemNo2=19, cost=38
Link29: itemNo1=7, itemNo2=20, cost=78
Link30: itemNo1=7, itemNo2=22, cost=10
Link31: itemNo1=8, itemNo2=2, cost=78
Link32: itemNo1=8, itemNo2=3, cost=51
Link33: itemNo1=8, itemNo2=4, cost=72
Link34: itemNo1=8, itemNo2=7, cost=45
Link35: itemNo1=8, itemNo2=11, cost=50
Link36: itemNo1=8, itemNo2=13, cost=60
Link37: itemNo1=8, itemNo2=19, cost=54
Link38: itemNo1=8, itemNo2=21, cost=62
Link39: itemNo1=8, itemNo2=23, cost=59
Link40: itemNo1=9, itemNo2=8, cost=48
Link41: itemNo1=9, itemNo2=16, cost=41
Link42: itemNo1=9, itemNo2=18, cost=83
Link43: itemNo1=10, itemNo2=2, cost=21
Link44: itemNo1=10, itemNo2=4, cost=49
Link45: itemNo1=10, itemNo2=9, cost=43
Link46: itemNo1=10, itemNo2=13, cost=38
Link47: itemNo1=10, itemNo2=15, cost=26
Link48: itemNo1=10, itemNo2=17, cost=38
Link49: itemNo1=10, itemNo2=18, cost=2
Link50: itemNo1=10, itemNo2=22, cost=73
Link51: itemNo1=10, itemNo2=25, cost=42
Link52: itemNo1=11, itemNo2=10, cost=68
Link53: itemNo1=11, itemNo2=18, cost=58
Link54: itemNo1=11, itemNo2=25, cost=80
Link55: itemNo1=12, itemNo2=3, cost=1
Link56: itemNo1=12, itemNo2=6, cost=86
Link57: itemNo1=13, itemNo2=5, cost=30
Link58: itemNo1=13, itemNo2=16, cost=24
Link59: itemNo1=13, itemNo2=17, cost=81
Link60: itemNo1=13, itemNo2=22, cost=28
Link61: itemNo1=13, itemNo2=23, cost=85
Link62: itemNo1=14, itemNo2=1, cost=80
Link63: itemNo1=14, itemNo2=4, cost=9
Link64: itemNo1=14, itemNo2=6, cost=44
Link65: itemNo1=14, itemNo2=8, cost=22
Link66: itemNo1=14, itemNo2=10, cost=38
Link67: itemNo1=14, itemNo2=15, cost=69
Link68: itemNo1=14, itemNo2=16, cost=63
Link69: itemNo1=14, itemNo2=19, cost=83
Link70: itemNo1=14, itemNo2=20, cost=79
Link71: itemNo1=15, itemNo2=4, cost=34
Link72: itemNo1=15, itemNo2=7, cost=15
Link73: itemNo1=15, itemNo2=12, cost=17
Link74: itemNo1=15, itemNo2=19, cost=40
Link75: itemNo1=15, itemNo2=20, cost=46
Link76: itemNo1=15, itemNo2=22, cost=33
Link77: itemNo1=16, itemNo2=1, cost=75
Link78: itemNo1=16, itemNo2=3, cost=84
Link79: itemNo1=16, itemNo2=4, cost=63
Link80: itemNo1=16, itemNo2=19, cost=69
Link81: itemNo1=16, itemNo2=21, cost=35
