Instancia,Melhor_Rodada,Custo,Num_Bins,Arquivo
1,8,7746,4,LNS_instance=1_8.txt
2,4,7581,4,LNS_instance=2_4.txt
3,1,7465,4,LNS_instance=3_1.txt
4,6,11957,5,LNS_instance=4_6.txt
5,10,11543,4,LNS_instance=5_10.txt
6,1,11430,4,LNS_instance=6_1.txt
7,2,5666,4,LNS_instance=7_2.txt
8,8,5367,4,LNS_instance=8_8.txt
9,1,5367,4,LNS_instance=9_1.txt
10,5,8302,5,LNS_instance=10_5.txt
11,8,7864,4,LNS_instance=11_8.txt
12,5,7697,4,LNS_instance=12_5.txt
13,9,11370,5,LNS_instance=13_9.txt
14,10,10919,5,LNS_instance=14_10.txt
15,7,10768,5,LNS_instance=15_7.txt
16,5,18304,5,LNS_instance=16_5.txt
17,10,18184,5,LNS_instance=17_10.txt
18,10,17194,5,LNS_instance=18_10.txt
19,1,8516,5,LNS_instance=19_1.txt
20,7,8206,4,LNS_instance=20_7.txt
21,1,8144,4,LNS_instance=21_1.txt
22,3,11775,5,LNS_instance=22_3.txt
23,3,11446,5,LNS_instance=23_3.txt
24,3,11144,5,LNS_instance=24_3.txt
25,8,26042,8,LNS_instance=25_8.txt
26,1,24566,6,LNS_instance=26_1.txt
27,2,24535,6,LNS_instance=27_2.txt
28,2,33075,8,LNS_instance=28_2.txt
29,6,32812,8,LNS_instance=29_6.txt
30,10,32300,8,LNS_instance=30_10.txt
31,10,22264,8,LNS_instance=31_10.txt
32,2,20376,6,LNS_instance=32_2.txt
33,3,20376,6,LNS_instance=33_3.txt
34,2,26643,8,LNS_instance=34_2.txt
35,5,26253,8,LNS_instance=35_5.txt
36,2,25701,8,LNS_instance=36_2.txt
37,1,32650,10,LNS_instance=37_1.txt
38,4,32411,8,LNS_instance=38_4.txt
39,1,32234,8,LNS_instance=39_1.txt
40,3,45311,9,LNS_instance=40_3.txt
41,5,45358,9,LNS_instance=41_5.txt
42,2,43666,10,LNS_instance=42_2.txt
43,7,27196,8,LNS_instance=43_7.txt
44,3,26161,6,LNS_instance=44_3.txt
45,7,26117,6,LNS_instance=45_7.txt
46,6,33046,9,LNS_instance=46_6.txt
47,7,32707,8,LNS_instance=47_7.txt
48,8,32268,8,LNS_instance=48_8.txt
49,2,99676,16,LNS_instance=49_2.txt
50,5,96778,13,LNS_instance=50_5.txt
51,6,96529,13,LNS_instance=51_6.txt
52,8,114886,18,LNS_instance=52_8.txt
53,6,114516,17,LNS_instance=53_6.txt
54,3,112978,16,LNS_instance=54_3.txt
55,2,91937,16,LNS_instance=55_2.txt
56,3,88152,13,LNS_instance=56_3.txt
57,10,88019,13,LNS_instance=57_10.txt
58,7,101489,18,LNS_instance=58_7.txt
59,4,101074,18,LNS_instance=59_4.txt
60,7,99091,16,LNS_instance=60_7.txt
61,7,114443,17,LNS_instance=61_7.txt
62,4,113778,15,LNS_instance=62_4.txt
63,10,113409,15,LNS_instance=63_10.txt
64,10,138542,18,LNS_instance=64_10.txt
65,10,139457,18,LNS_instance=65_10.txt
66,8,136799,19,LNS_instance=66_8.txt
67,4,101852,16,LNS_instance=67_4.txt
68,7,99499,13,LNS_instance=68_7.txt
69,8,99256,13,LNS_instance=69_8.txt
70,1,113565,18,LNS_instance=70_1.txt
71,8,113103,18,LNS_instance=71_8.txt
72,1,112721,17,LNS_instance=72_1.txt
73,7,389180,31,LNS_instance=73_7.txt
74,5,382408,25,LNS_instance=74_5.txt
75,7,381783,25,LNS_instance=75_7.txt
76,6,418765,34,LNS_instance=76_6.txt
77,3,418913,34,LNS_instance=77_3.txt
78,1,415775,32,LNS_instance=78_1.txt
79,9,373682,31,LNS_instance=79_9.txt
80,1,364628,25,LNS_instance=80_1.txt
81,6,364650,24,LNS_instance=81_6.txt
82,4,392966,35,LNS_instance=82_4.txt
83,8,391419,34,LNS_instance=83_8.txt
84,7,388023,31,LNS_instance=84_7.txt
85,1,418491,32,LNS_instance=85_1.txt
86,7,417493,28,LNS_instance=86_7.txt
87,5,416890,29,LNS_instance=87_5.txt
88,2,467500,35,LNS_instance=88_2.txt
89,3,467521,36,LNS_instance=89_3.txt
90,7,464463,38,LNS_instance=90_7.txt
91,8,393307,31,LNS_instance=91_8.txt
92,4,389129,25,LNS_instance=92_4.txt
93,4,388815,25,LNS_instance=93_4.txt
94,5,417323,35,LNS_instance=94_5.txt
95,6,417046,35,LNS_instance=95_6.txt
96,1,415248,33,LNS_instance=96_1.txt
